<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.09.17	1.29578	1.29814	1.28347	1.28489	55184	0	1
2014.09.18	1.28491	1.29303	1.28487	1.29204	48149	0	1
2014.09.19	1.29202	1.29289	1.28275	1.28284	51842	0	1
2014.09.21	1.28267	1.28444	1.28261	1.28400	9486	0	1
2014.09.22	1.28399	1.28679	1.28164	1.28503	88556	0	1
2014.09.23	1.28502	1.29012	1.28395	1.28489	43067	0	1
2014.09.24	1.28490	1.28637	1.27742	1.27769	43752	0	1
2014.09.25	1.27769	1.27834	1.26968	1.27552	56627	0	1
2014.09.26	1.27551	1.27600	1.26769	1.26825	45532	0	1
2014.09.28	1.26812	1.26813	1.26665	1.26755	2047	0	1
2014.09.29	1.26756	1.27149	1.26638	1.26899	45644	0	1
2014.09.30	1.26900	1.27024	1.25712	1.26282	57932	0	1
2014.10.01	1.26281	1.26397	1.25837	1.26215	58517	0	1
2014.10.02	1.26216	1.26988	1.26138	1.26681	70470	0	1
2014.10.03	1.26682	1.26690	1.25006	1.25145	51022	0	1
2014.10.05	1.25132	1.25138	1.25089	1.25127	1044	0	1
2014.10.06	1.25128	1.26750	1.25122	1.26433	50829	0	1
2014.10.07	1.26434	1.26832	1.25836	1.26648	73650	0	1
2014.10.08	1.26649	1.27549	1.26228	1.27409	74334	0	1
2014.10.09	1.27408	1.27914	1.26638	1.26882	81270	0	1
2014.10.10	1.26883	1.27161	1.26056	1.26272	67498	0	1
2014.10.12	1.26273	1.26475	1.26273	1.26398	3851	0	1
2014.10.13	1.26398	1.27681	1.26337	1.27217	77743	0	1
2014.10.14	1.27218	1.27314	1.26317	1.26413	80454	0	1
2014.10.15	1.26416	1.28868	1.26248	1.28203	114793	0	1
2014.10.16	1.28203	1.28450	1.27059	1.28042	112320	0	1
2014.10.17	1.28043	1.28368	1.27435	1.27591	64095	0	1
2014.10.19	1.27552	1.27567	1.27360	1.27469	3443	0	8
2014.10.20	1.27469	1.28164	1.27308	1.27938	69619	0	8
2014.10.21	1.27936	1.28397	1.27060	1.27131	80586	0	8
2014.10.22	1.27131	1.27391	1.26367	1.26410	75901	0	8
2014.10.23	1.26408	1.26762	1.26134	1.26488	70782	0	3
2014.10.24	1.26488	1.26953	1.26344	1.26681	63511	0	3
2014.10.26	1.26751	1.26913	1.26719	1.26870	5789	0	7
2014.10.27	1.26871	1.27231	1.26653	1.27045	69066	0	5
2014.10.28	1.27046	1.27644	1.26848	1.27332	63630	0	1
2014.10.29	1.27331	1.27701	1.26186	1.26239	73511	0	8
2014.10.30	1.26238	1.26318	1.25469	1.26041	88180	0	3
2014.10.31	1.26046	1.26074	1.24851	1.25231	99059	0	8
2014.11.02	1.25085	1.25110	1.24385	1.24618	6659	0	8
2014.11.03	1.24618	1.25093	1.24466	1.24987	91316	0	8
2014.11.04	1.24987	1.25772	1.24942	1.25557	87551	0	7
2014.11.05	1.25558	1.25665	1.24568	1.24770	103494	0	2
2014.11.06	1.24767	1.25328	1.23645	1.23787	120302	0	1
2014.11.07	1.23792	1.24683	1.23571	1.24535	85036	0	1
2014.11.09	1.24637	1.24797	1.24528	1.24596	5106	0	8
2014.11.10	1.24597	1.25090	1.24180	1.24313	74044	0	8
2014.11.11	1.24315	1.24988	1.23939	1.24561	79198	0	1
2014.11.12	1.24564	1.24974	1.24187	1.24358	99503	0	8
