<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.04	17:00:00	128.80	128.89	126.75	128.40	11317	0	3
2021.01.04	18:00:00	128.39	129.17	128.03	129.15	5870	0	3
2021.01.04	19:00:00	129.14	129.56	128.61	129.47	6349	0	3
2021.01.04	20:00:00	129.46	129.72	128.75	129.48	7556	0	3
2021.01.05	14:00:00	128.71	131.45	128.71	131.29	5580	0	3
2021.01.05	15:00:00	131.29	131.71	130.42	130.52	8079	0	3
2021.01.05	16:00:00	130.54	130.67	129.92	130.26	6184	0	3
2021.01.05	17:00:00	130.27	130.32	129.83	130.13	4261	0	3
2021.01.05	18:00:00	130.14	130.61	129.93	130.61	2515	0	3
2021.01.05	19:00:00	130.62	131.39	130.58	130.93	3798	0	3
2021.01.05	20:00:00	130.94	131.35	130.74	131.03	4280	0	3
2021.01.06	14:00:00	127.17	128.50	126.55	128.04	7444	0	3
2021.01.06	15:00:00	128.06	129.71	127.58	129.37	9324	0	3
2021.01.06	16:00:00	129.38	131.03	129.09	130.09	6918	0	3
2021.01.06	17:00:00	130.11	130.69	129.87	130.00	4907	0	3
2021.01.06	18:00:00	130.01	130.24	128.93	129.24	4577	0	3
2021.01.06	19:00:00	129.23	129.43	127.09	127.91	9517	0	3
2021.01.06	20:00:00	127.91	128.20	126.36	126.50	10663	0	3
2021.01.07	14:00:00	128.13	129.11	127.85	129.00	5618	0	3
2021.01.07	15:00:00	129.00	130.54	128.90	130.53	7335	0	3
2021.01.07	16:00:00	130.54	131.01	130.14	130.30	5477	0	3
2021.01.07	17:00:00	130.31	130.63	129.84	130.45	4119	0	3
2021.01.07	18:00:00	130.46	130.55	130.00	130.29	3489	0	3
2021.01.07	19:00:00	130.29	130.76	130.27	130.76	3230	0	3
2021.01.07	20:00:00	130.75	131.61	130.44	130.83	4406	0	3
2021.01.08	14:00:00	131.89	132.60	130.34	131.53	7123	0	3
2021.01.08	15:00:00	131.53	131.95	130.24	131.00	8935	0	3
2021.01.08	16:00:00	131.01	132.23	130.61	132.23	5879	0	3
2021.01.08	17:00:00	132.25	132.55	131.50	131.66	5008	0	3
2021.01.08	18:00:00	131.65	131.77	130.21	130.99	7514	0	3
2021.01.08	19:00:00	130.99	131.54	130.96	131.42	5863	0	3
2021.01.08	20:00:00	131.42	132.15	131.38	132.15	5621	0	3
2021.01.11	14:00:00	129.05	129.80	128.49	129.40	7899	0	3
2021.01.11	15:00:00	129.39	130.13	129.31	129.55	8609	0	3
2021.01.11	16:00:00	129.58	129.67	129.16	129.50	4952	0	3
2021.01.11	17:00:00	129.49	130.04	129.34	129.54	3926	0	3
2021.01.11	18:00:00	129.52	129.91	129.21	129.33	4457	0	3
2021.01.11	19:00:00	129.32	129.33	128.86	129.29	4851	0	3
2021.01.11	20:00:00	129.29	129.40	128.68	128.99	6395	0	3
2021.01.12	14:00:00	128.75	129.67	128.07	128.34	6092	0	3
2021.01.12	15:00:00	128.34	129.31	128.18	128.90	7319	0	3
2021.01.12	16:00:00	128.88	129.16	128.14	128.34	5329	0	3
2021.01.12	17:00:00	128.34	128.37	126.90	127.92	6047	0	3
2021.01.12	18:00:00	127.93	128.42	127.70	128.17	4280	0	3
2021.01.12	19:00:00	128.18	128.76	128.07	128.38	4530	0	3
2021.01.12	20:00:00	128.39	129.17	128.19	129.03	5115	0	3
2021.01.13	14:00:00	128.72	130.18	128.70	129.81	5223	0	3
2021.01.13	15:00:00	129.81	131.24	129.31	131.02	6917	0	3
2021.01.13	16:00:00	131.03	131.43	130.71	131.13	5591	0	3
2021.01.13	17:00:00	131.14	131.17	130.40	131.11	4739	0	3
2021.01.13	18:00:00	131.11	131.27	130.76	130.84	3380	0	3
2021.01.13	19:00:00	130.84	131.12	130.72	130.99	3790	0	3
2021.01.13	20:00:00	130.99	131.11	130.59	131.00	4163	0	3
2021.01.14	14:00:00	130.64	130.82	129.64	129.99	5670	0	3
2021.01.14	15:00:00	129.98	130.85	129.59	130.61	5578	0	3
2021.01.14	16:00:00	130.61	130.68	129.85	129.98	4542	0	3
2021.01.14	17:00:00	129.97	130.17	129.53	130.11	3986	0	3
2021.01.14	18:00:00	130.11	130.12	129.49	129.51	3119	0	3
2021.01.14	19:00:00	129.52	129.72	129.28	129.61	3298	0	3
2021.01.14	20:00:00	129.61	129.71	128.76	129.18	5806	0	3
