<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.11.09	1273.30	1337.16	1268.70	1276.08	337575	152966880	24
2016.11.10	1276.04	1292.13	1252.18	1260.67	202452	115325222	24
2016.11.11	1260.67	1265.31	1219.03	1227.24	171212	98418191	24
2016.11.13	1227.76	1231.15	1227.24	1229.55	3234	1761527	24
2016.11.14	1229.55	1230.07	1211.44	1223.53	199396	95156946	24
2016.11.15	1223.53	1231.45	1218.77	1226.92	155586	68669834	24
2016.11.16	1226.89	1232.96	1221.39	1226.64	136021	71377115	24
2016.11.17	1226.62	1231.33	1210.95	1214.64	152677	89897902	24
2016.11.18	1214.65	1216.03	1202.74	1208.51	137281	72854959	24
2016.11.20	1207.89	1208.08	1205.47	1206.15	2433	1248947	24
2016.11.21	1206.24	1217.53	1206.23	1215.97	116045	55589449	24
2016.11.22	1215.98	1220.95	1206.04	1212.83	116001	59647872	24
2016.11.23	1212.87	1214.87	1181.58	1189.47	132368	68580197	24
2016.11.24	1189.47	1190.80	1180.23	1186.00	73051	39590371	24
2016.11.25	1185.97	1193.14	1170.11	1183.71	111791	44801537	24
2016.11.27	1184.38	1186.88	1183.99	1186.61	2957	1896249	24
2016.11.28	1186.57	1197.53	1182.91	1194.52	155740	90785710	24
2016.11.29	1194.55	1194.85	1180.98	1188.70	144181	84602597	24
2016.11.30	1188.65	1194.83	1170.63	1172.26	161243	101903196	24
2016.12.01	1172.37	1176.60	1160.63	1173.34	155604	92341534	24
2016.12.02	1173.27	1178.04	1166.60	1176.87	123892	81000882	24
2016.12.04	1182.86	1187.93	1177.63	1180.18	6337	4058822	24
2016.12.05	1180.08	1181.31	1157.04	1170.05	185376	109007955	24
2016.12.06	1169.96	1175.24	1166.68	1169.27	118891	60424408	24
2016.12.07	1169.25	1180.17	1165.51	1174.84	112079	57700642	24
2016.12.08	1174.86	1178.57	1169.12	1170.51	123759	69013954	24
2016.12.09	1170.51	1171.96	1156.16	1158.35	107562	61398148	24
2016.12.11	1159.29	1159.29	1156.69	1158.40	1744	1010177	24
2016.12.12	1158.40	1165.72	1151.14	1162.89	121716	65489762	24
2016.12.13	1162.80	1164.87	1154.51	1158.51	125132	66626371	24
2016.12.14	1158.47	1165.09	1139.04	1142.73	149506	78362376	24
2016.12.15	1142.69	1144.28	1122.62	1127.99	149008	87027671	24
2016.12.16	1127.95	1141.16	1126.54	1134.65	78284	42529877	24
2016.12.18	1134.31	1136.71	1134.13	1135.67	1562	861184	32
2016.12.19	1135.94	1142.24	1135.44	1138.54	91481	48686959	24
2016.12.20	1138.49	1139.73	1125.67	1131.94	91278	51125608	24
2016.12.21	1131.94	1137.03	1129.25	1130.79	80630	45786497	24
2016.12.22	1130.77	1134.03	1127.37	1128.68	72821	42321830	24
2016.12.23	1128.67	1135.72	1126.77	1133.39	38114	24343591	24
2016.12.26	1133.43	1133.49	1133.01	1133.21	625	316137	41
2016.12.27	1133.19	1150.69	1131.58	1139.17	57371	29052444	24
2016.12.28	1139.27	1144.41	1136.45	1142.24	68805	42692377	24
2016.12.29	1142.22	1161.87	1142.22	1160.18	79041	41381147	24
2016.12.30	1160.13	1163.15	1146.41	1152.12	70624	40640962	24
2017.01.02	1151.67	1151.68	1149.39	1150.29	3850	2363023	26
2017.01.03	1150.29	1164.35	1145.95	1157.08	131625	84602877	24
2017.01.04	1157.03	1167.83	1156.07	1165.83	130145	89564098	24
2017.01.05	1165.81	1184.94	1165.81	1180.72	156083	97850748	24
2017.01.06	1180.72	1182.92	1170.84	1172.59	122866	77005556	24
2017.01.08	1172.82	1173.91	1171.87	1173.79	2105	1097573	25
2017.01.09	1173.79	1186.08	1172.55	1182.44	126631	69141136	24
2017.01.10	1182.42	1190.53	1180.11	1186.03	113281	88757990	24
2017.01.11	1186.02	1198.17	1177.11	1193.40	156694	130233243	24
2017.01.12	1193.35	1206.88	1192.76	1196.15	143071	115374259	24
2017.01.13	1196.13	1201.18	1187.86	1197.33	122219	103576367	24
2017.01.15	1199.73	1205.08	1198.07	1203.38	3919	3101794	24
2017.01.16	1203.37	1208.48	1200.18	1203.15	75597	60020324	24
2017.01.17	1203.10	1218.77	1203.10	1215.05	142207	117175417	24
